id	op	ts	interest_rate_percent	balance	savings_account_id	status
sa1globalid	c	1577890800000	1.5	0.0	sa1	ACTIVE
sa1globalid	u	1577955600000	1.5	15000.0	sa1	ACTIVE
sa1globalid	u	1578159060000	3.0	15000.0	sa1	ACTIVE
sa1globalid	u	1578648600000	3.0	40000.0	sa1	ACTIVE
sa1globalid	u	1578654000000	3.0	21000.0	sa1	ACTIVE
sa1globalid	u	1579078860000	1.5	21000.0	sa1	ACTIVE
sa1globalid	u	1579298460000	4.0	21000.0	sa1	ACTIVE
sa1globalid	u	1579505400000	4.0	33000.0	sa1	ACTIVE
id	op	ts	interest_rate_percent	balance	savings_account_id	status
sa1globalid	c	1577890800000	1.5	0.0	sa1	ACTIVE
sa1globalid	u	1577955600000	1.5	15000.0	sa1	ACTIVE
sa1globalid	u	1578159060000	3.0	15000.0	sa1	ACTIVE
sa1globalid	u	1578648600000	3.0	40000.0	sa1	ACTIVE
sa1globalid	u	1578654000000	3.0	21000.0	sa1	ACTIVE
sa1globalid	u	1579078860000	1.5	21000.0	sa1	ACTIVE
sa1globalid	u	1579298460000	4.0	21000.0	sa1	ACTIVE
sa1globalid	u	1579505400000	4.0	33000.0	sa1	ACTIVE
id	op	ts	interest_rate_percent	balance	savings_account_id	status
sa1globalid	c	1577890800000	1.5	0.0	sa1	ACTIVE
sa1globalid	u	1577955600000	1.5	15000.0	sa1	ACTIVE
sa1globalid	u	1578159060000	3.0	15000.0	sa1	ACTIVE
sa1globalid	u	1578648600000	3.0	40000.0	sa1	ACTIVE
sa1globalid	u	1578654000000	3.0	21000.0	sa1	ACTIVE
sa1globalid	u	1579078860000	1.5	21000.0	sa1	ACTIVE
sa1globalid	u	1579298460000	4.0	21000.0	sa1	ACTIVE
sa1globalid	u	1579505400000	4.0	33000.0	sa1	ACTIVE
id	op	ts	interest_rate_percent	balance	savings_account_id	status
sa1globalid	c	1577890800000	1.5	0.0	sa1	ACTIVE
sa1globalid	u	1577955600000	1.5	15000.0	sa1	ACTIVE
sa1globalid	u	1578159060000	3.0	15000.0	sa1	ACTIVE
sa1globalid	u	1578648600000	3.0	40000.0	sa1	ACTIVE
sa1globalid	u	1578654000000	3.0	21000.0	sa1	ACTIVE
sa1globalid	u	1579078860000	1.5	21000.0	sa1	ACTIVE
sa1globalid	u	1579298460000	4.0	21000.0	sa1	ACTIVE
sa1globalid	u	1579505400000	4.0	33000.0	sa1	ACTIVE
